1, 9, 'adbs', 1, 81
1, 9, 'adbs', 2, 81
1, 9, 'adbs', 4, 81
1, 9, 'adbs', 5, 81
1, 9, 'adbs', 8, 81
2, 7, 'anlp', 1, 49
2, 7, 'anlp', 2, 49
2, 7, 'anlp', 4, 49
2, 7, 'anlp', 5, 49
2, 7, 'anlp', 8, 49
4, 2, 'ids', 1, 4
4, 2, 'ids', 2, 4
4, 2, 'ids', 4, 4
4, 2, 'ids', 5, 4
4, 2, 'ids', 8, 4
5, 0, 'sdp', 1, 0
5, 0, 'sdp', 2, 0
5, 0, 'sdp', 4, 0
5, 0, 'sdp', 5, 0
5, 0, 'sdp', 8, 0
8, 1, 'mlpr', 1, 1
8, 1, 'mlpr', 2, 1
8, 1, 'mlpr', 4, 1
8, 1, 'mlpr', 5, 1
8, 1, 'mlpr', 8, 1
8, 9, 'rl', 1, 81
8, 9, 'rl', 2, 81
8, 9, 'rl', 4, 81
8, 9, 'rl', 5, 81
8, 9, 'rl', 8, 81
8, 9, 'ppls', 1, 81
8, 9, 'ppls', 2, 81
8, 9, 'ppls', 4, 81
8, 9, 'ppls', 5, 81
8, 9, 'ppls', 8, 81
