5,'apr','my','zzp'
11,'nhq','ek','f'
1,'lqw','pyl','biq'
8,'ytx','kvb','nbn'
4,'teh','lv','tq'
5,'hsm','vw','j'
7,'x','e','b'
4,'x','vi','t'
11,'ir','dqu','ul'
3,'d','cfh','e'
3,'uyy','kbr','y'
7,'glv','r','xl'
1,'hsv','trx','n'
1,'gz','w','bm'
11,'d','nh','y'
4,'fa','wr','dmu'
8,'uoj','px','x'
7,'k','c','s'
8,'u','u','mch'
10,'xsp','dm','ltp'
7,'gqu','k','xc'
3,'dk','h','fti'
1,'ur','pan','vtf'
4,'sqg','qs','xz'
4,'psd','u','lb'
8,'p','ezp','wdi'
3,'l','gu','zw'
8,'nnw','lyy','k'
2,'p','un','l'
7,'s','gvd','id'
4,'io','khl','izw'
6,'bd','dsj','xrg'
3,'v','l','w'
11,'e','kw','tk'
3,'pto','dq','sk'
11,'kf','evi','vb'
8,'bt','n','nc'
5,'rvz','r','p'
7,'kdz','z','dz'
7,'ul','pxb','xfv'
5,'ew','sb','qs'
3,'uwk','gt','mot'
2,'e','nr','o'
10,'lce','w','bd'
2,'d','imb','xcr'
5,'jfj','vso','yl'
9,'euj','yr','o'
5,'bq','dn','cbn'
10,'kmf','if','mr'
8,'k','m','w'
8,'st','mmx','kqh'
5,'ux','ln','mw'
4,'gju','j','yl'
8,'ik','ya','bux'
9,'k','zjw','an'
10,'qt','mm','o'
7,'fp','zl','y'
1,'isi','gl','f'
2,'cdf','fr','uo'
4,'ljc','xps','w'
5,'enm','z','bdf'
1,'m','lg','jds'
5,'umx','yki','fe'
11,'c','ur','fd'
5,'zk','x','eos'
6,'za','umk','kwm'
2,'h','nv','ie'
9,'f','ryo','nnl'
2,'j','a','h'
7,'r','i','hu'
3,'eoq','hsp','d'
9,'jfx','qr','uo'
9,'vp','obn','hwr'
1,'k','x','qs'
1,'n','o','xyb'
5,'u','dc','k'
6,'u','c','xnh'
7,'i','w','z'
1,'uzz','j','ley'
10,'g','jao','rx'
5,'rlx','r','ma'
6,'sxe','gr','yjy'
3,'izb','gaa','pj'
8,'us','pb','es'
10,'aew','puq','a'
10,'vq','yn','gna'
8,'i','e','zc'
10,'q','m','od'
8,'czo','m','gt'
11,'p','r','jqv'
11,'bje','v','kp'
1,'y','o','y'
9,'kpq','w','va'
3,'lzx','sac','zxe'
2,'qkd','r','e'
4,'da','liz','enh'
9,'mrt','awj','v'
2,'x','d','c'
3,'pfv','vx','eb'
4,'azp','eeg','xvk'
1,'i','gm','bfu'
3,'e','cu','sfi'
5,'ygw','umy','o'
3,'gc','e','z'
8,'t','zw','u'
10,'abb','u','fcr'
4,'r','r','fu'
8,'frv','r','qj'
7,'s','ew','kro'
10,'vy','e','oo'
8,'t','s','mrj'
1,'np','lej','s'
10,'sm','pw','jz'
10,'c','aed','oc'
10,'clr','o','cl'
6,'q','s','dm'
10,'w','qs','b'
3,'k','c','yb'
6,'he','pl','xme'
2,'p','fkn','slp'
4,'hsu','gmi','uq'
3,'w','ai','jb'
3,'djf','czi','zo'
2,'jgz','jq','ys'
10,'fg','bo','xe'
10,'w','m','n'
4,'amw','hnv','z'
5,'hsh','wtg','nd'
7,'mx','fis','eb'
8,'qg','k','zgi'
11,'m','qu','vuy'
11,'chs','gm','o'
1,'p','pwh','mqc'
1,'h','qk','fo'
11,'xx','pci','eo'
1,'to','j','a'
10,'xl','tlq','szu'
2,'moa','e','f'
2,'d','ko','bw'
10,'jkj','fhv','ndt'
6,'lx','nd','m'
8,'o','yr','v'
8,'wqf','f','a'
9,'mt','ebl','trs'
1,'c','hi','mzu'
1,'v','u','fro'
1,'ox','fi','khb'
4,'az','lvb','izt'
1,'m','xdf','jux'
1,'krb','r','m'
8,'e','dj','nz'
7,'jjm','soj','u'
8,'ur','xr','p'
3,'qqe','ln','zc'
8,'wj','uyb','nn'
8,'r','uqt','kd'
2,'d','do','p'
6,'pp','bh','q'
2,'sba','t','ugw'
5,'rox','qev','sq'
2,'q','rt','kxm'
5,'pm','rr','p'
4,'yii','qkk','egi'
10,'hh','a','war'
8,'b','ja','c'
10,'cbp','apy','s'
9,'g','ytr','jfi'
4,'eza','r','vvn'
6,'y','uj','jx'
2,'b','my','tit'
11,'cl','hry','r'
1,'jvh','qq','g'
8,'tno','zv','r'
6,'mx','zgq','m'
3,'arp','j','db'
6,'d','rhn','jk'
4,'id','hu','cf'
1,'qe','f','urt'
