'cn','ir','ak',8
'zf','ia','jx',7
'hl','rm','y',7
'zqf','gf','qd',10
'x','u','y',6
'ty','os','z',9
'oui','b','r',8
'dk','de','ogq',2
'c','z','n',4
'u','fn','d',9
'y','ju','hq',2
'jp','i','d',8
'xbq','g','x',3
'u','gv','qj',2
'qtn','a','u',3
'se','my','rof',10
'byu','anx','uq',1
'lm','b','f',9
'p','qp','lor',10
'sth','s','jru',10
'wo','q','v',4
'd','p','t',1
'n','ti','q',6
'lgd','zig','o',4
'dsh','y','kha',7
'zf','g','xz',1
'x','gm','q',8
'e','z','cb',11
'cz','kv','na',9
'p','sx','xa',3
's','np','oyd',9
'uh','nkj','yy',9
'i','wbc','ibu',8
'g','rud','ul',4
'iwq','ncr','cyb',5
'rt','fzq','mv',4
'bm','i','ep',4
'mvk','wjb','tap',5
'id','g','ipq',4
'j','ol','kj',10
'xai','n','dxk',11
'nhj','yw','plm',7
'ixx','o','e',11
'bcn','lzq','c',5
'fs','u','dr',10
'tu','hyp','n',10
'i','t','ks',4
'pqg','d','y',8
'okh','wyo','j',8
'jt','b','bgs',1
'w','sf','skk',10
'ecl','n','k',2
'd','r','uks',2
'hxv','e','eph',11
'ust','n','kko',5
'wog','l','we',5
'tv','l','w',8
'vua','p','vu',7
'rp','mq','v',10
'f','fq','rt',10
'b','g','hd',4
'cx','bz','j',9
'fw','kw','nq',6
'n','pdg','yd',4
'b','s','mv',6
'te','kf','i',2
'vcv','ypv','j',5
've','udu','jwf',2
'uo','q','t',1
'lu','qyo','u',10
'lc','zx','euv',9
'hw','n','bnl',9
'phs','m','z',4
'qm','nx','vws',10
'qne','vpg','dz',6
'pxl','oow','rva',7
'k','o','u',9
'ftb','pct','wpf',4
'a','dda','osj',6
'icb','rvd','ktt',6
'dg','rjd','x',9
'k','kl','fdv',10
'l','ce','chr',9
'rc','ahz','jjf',1
'no','zyb','gcs',7
'oe','let','bsw',11
'rhu','hq','h',9
'x','qkl','hj',6
'v','dh','qob',7
'viq','za','sbs',10
'dci','hoz','q',11
'kt','cjc','h',6
'p','q','c',8
'cze','l','q',4
'e','rlh','htf',9
'xpc','eu','te',1
'xw','an','c',9
'kbo','vqo','cx',10
'wp','cl','dzk',1
'jx','h','ps',9
'kpc','suc','d',5
'l','ini','u',8
'kke','ncx','y',5
'k','zs','nwc',11
'x','qq','ca',8
'ikd','gk','eqg',2
'f','sy','i',1
'kkp','f','dw',3
'o','tih','xf',7
'nvn','aje','w',1
'fsk','o','eq',3
'gb','og','qgt',7
'g','t','rhw',4
'jfq','uu','x',5
'iky','duz','oab',8
'p','p','isi',11
'i','qj','rv',10
'zi','l','h',4
'rne','vqf','b',1
'sl','h','s',7
'v','kuo','k',11
'wkf','tzx','wn',7
'xn','eg','c',3
'll','fsb','wdq',7
'd','jx','d',7
'kb','fv','rj',9
've','x','hz',4
'cv','t','r',9
'ld','prt','gxi',7
'vs','om','w',6
'na','v','k',8
'hfv','ptj','x',4
'qhq','wke','ia',1
'jx','csd','lu',8
'ju','e','s',9
'bhq','s','a',4
'vk','fgs','ob',11
'y','w','cee',9
'qj','loy','dn',2
'ze','x','y',9
'n','vzt','t',2
'mip','oms','vdl',5
'a','lif','wqi',8
'pjn','wyw','qw',4
'hp','nw','iwk',3
'zw','rvq','u',7
'f','oi','aox',9
'rt','he','j',3
'p','ya','m',8
'egr','fh','x',8
'aqb','qez','f',10
'rky','fq','rrf',5
'r','g','cdk',3
'eb','ew','iji',8
'eq','gnf','es',10
'ogz','i','eey',6
'kke','vd','k',8
'wky','aca','v',3
'bi','ukz','ce',7
'oyn','mz','nyv',5
'x','jht','hnw',1
'dsv','l','e',10
'afd','y','l',1
'yxy','xbp','umi',8
'h','vc','vo',10
'f','sx','yqd',10
'kp','xe','ns',10
'vdh','l','o',10
'xo','bpb','um',7
'lo','ei','up',11
'yy','es','c',1
'v','rtd','d',9
'bz','jl','ni',6
's','ovz','m',2
'iwp','itw','s',4
'gyf','f','l',6
'l','tak','o',8
'b','y','y',10
'qzq','kl','pf',10
'x','zp','gpk',9
'ky','jc','a',5
'h','wpt','xao',2
'wit','wk','vu',1
'i','txy','x',6
'tz','da','gr',10
'l','cs','r',2
'sgm','dz','hl',11
'sg','q','eqd',10
'h','xq','wbw',11
'd','v','qzm',7
'j','bme','e',4
'cw','si','j',5
'j','te','dpv',3
'd','r','mp',5
'c','cp','yoh',5
'uoc','cwd','sot',1
'seu','gxo','d',1
'q','nh','a',7
'el','v','ok',4
'cf','jyh','d',2
'o','ip','d',10
'c','lk','jcd',6
'a','a','zf',10
'a','mus','hl',4
'tse','dp','i',11
'ik','ks','k',8
'b','zpg','fm',8
'sp','x','og',9
'qug','fi','of',9
'gck','n','vha',10
'ro','n','la',2
'pwq','cq','gjb',4
'ff','ija','mc',10
'd','fc','n',8
'q','eib','rx',8
'ox','cf','kbz',8
'uq','th','sc',7
'ii','vus','la',1
'og','p','ix',7
't','z','fdx',7
'u','bu','ls',2
'ynb','jcy','cvc',11
'm','xo','ucv',10
'p','ir','zki',4
'p','g','dq',11
'tc','jau','hia',3
'tc','ki','f',10
't','qey','ku',10
'rmy','qs','de',10
'fk','lh','cka',5
'e','dvd','yd',1
'x','yx','o',1
'dd','b','n',1
'mu','e','tmk',2
'v','er','twr',4
'z','g','z',1
'ph','pqr','u',9
'vb','x','eld',7
'cz','uvx','qjp',6
'vn','gu','l',8
'iab','p','egt',1
'l','i','en',9
'e','qrn','f',3
'iq','ze','zz',11
'm','mkb','ix',5
'd','asm','ks',1
'bl','x','uor',5
'mg','bs','o',3
'cau','cx','k',1
'yo','o','fgj',9
'meh','lbj','h',8
'zmd','xo','q',8
'k','qrt','ldz',5
'qmz','mpr','pi',1
'j','zm','uao',10
'c','bxs','cbj',10
'y','g','q',2
'pyt','drl','y',9
'jkl','qed','un',8
'twm','lfi','vz',10
'xot','jt','st',7
'mgk','srm','xk',8
'nb','kj','rg',1
'hh','ma','gce',3
'yp','zc','na',11
'elb','bq','v',6
'g','o','i',1
'mp','bt','ys',3
't','nic','hl',11
'xsg','h','ry',1
